,Small-Low,Small-High,Big-Low,Big-High,Market,Rf
194807,-5.0394,-5.4277,-5.0109,-4.3526,-5.01,0.08
194808,-1.2187,-0.3647,0.877,0.5907,0.34,0.09
194809,-2.9725,-5.4006,-2.7272,-3.726,-2.93,0.04
194810,4.065,5.3752,6.4318,6.2724,6,0.04
194811,-9.6917,-12.909,-8.3439,-13.3862,-9.26,0.04
194812,1.377,0.1269,4.9312,2.2947,3.3,0.04
194901,1.2533,2.9558,0.5644,1.3304,0.33,0.1
194902,-5.4013,-5.5692,-2.4792,-4.0374,-2.84,0.09
194903,6.3941,8.151,4.2292,5.0451,4.14,0.1
194904,-1.6677,-3.3838,-2.076,-2.6169,-1.78,0.09
194905,-3.8322,-5.1082,-1.8599,-5.3144,-2.84,0.1
194906,-1.3849,-1.1187,1.1072,-2.4522,0.2,0.1
194907,6.4991,5.7226,5.2446,6.761,5.63,0.09
194908,3.2778,2.0828,2.7176,2.8063,2.69,0.09
194909,5.4115,4.0587,2.6496,4.3781,3.18,0.09
194910,5.086,4.1293,3.2656,3.2714,3.23,0.09
194911,0.4606,0.0258,2.9316,1.4372,1.9,0.08
194912,6.939,8.811,5.3244,6.9841,5.22,0.09
195001,7.2216,4.6281,0.8634,3.6993,1.79,0.09
195002,1.6427,0.576,1.5742,1.0643,1.57,0.09
195003,2.4311,-2.0218,1.921,0.7578,1.36,0.1
195004,5.809,7.3816,4.3505,5.3842,4.03,0.09
195005,1.6118,3.0579,4.6314,4.1046,4.41,0.1
195006,-7.052,-8.9044,-5.457,-5.0086,-5.84,0.1
195007,0.9915,11.6038,-3.4767,13.0375,1.46,0.1
195008,4.5476,5.0419,6.0952,2.6001,4.95,0.1
195009,5.7172,4.9267,5.7728,4.4333,4.91,0.1
195010,-0.3128,0.3019,-0.1764,1.8064,-0.06,0.12
195011,0.2887,5.0141,2.4046,4.3401,2.87,0.11
195012,5.1974,12.476,3.3433,10.792,5.65,0.11
195101,6.7818,10.6312,5.162,8.5984,5.83,0.13
195102,1.8111,-0.2098,2.2422,-1.4461,1.51,0.1
195103,-1.5113,-5.6968,-0.7124,-4.7251,-2.04,0.11
195104,2.193,6.4513,4.4209,6.7054,4.99,0.13
195105,-1.7383,-3.3139,-2.3408,-3.5148,-2.22,0.12
195106,-3.9528,-7.1987,-2.1913,-6.4549,-2.5,0.12
195107,5.3862,6.7646,6.7108,9.4515,7.07,0.13
195108,5.9784,5.0422,4.2212,4.8958,4.4,0.13
195109,2.3972,2.7886,0.5856,1.462,0.82,0.12
195110,-2.0489,-3.3423,-3.7969,-2.0471,-2.37,0.16
195111,0.3986,0.3477,0.7789,0.708,0.68,0.11
195112,1.1428,0.5911,4.2486,1.6217,3.45,0.12
195201,1.6799,1.4297,0.4224,3.7717,1.6,0.15
195202,-2.0438,-1.9656,-2.176,-3.476,-2.5,0.12
195203,1.2554,3.3327,4.371,6.627,4.55,0.11
195204,-4.7813,-4.1123,-4.652,-5.5171,-4.85,0.12
195205,2.2833,2.7053,3.7903,3.4577,3.33,0.13
195206,1.6669,3.3299,3.9018,4.7258,3.98,0.15
195207,0.9702,-0.1746,1.2211,1.6605,1.06,0.15
195208,0.0304,0.2266,-0.7879,-0.9709,-0.61,0.15
195209,0.1735,-2.1912,-1.6986,-2.3742,-1.87,0.16
195210,-0.7374,-1.9705,-0.7482,-0.4279,-0.52,0.14
195211,5.5155,6.0762,6.2609,7.642,6.04,0.1
195212,1.9113,1.7299,3.1486,3.7045,3.09,0.16
195301,3.7943,3.9666,-0.9102,1.5482,-0.18,0.16
195302,1.3219,1.7434,-0.2122,-0.8049,-0.13,0.14
195303,-1.7287,-2.0624,-1.2085,-2.5659,-1.25,0.18
195304,-3.0868,-1.0693,-2.9693,-1.8519,-2.67,0.16
195305,0.7109,0.7102,0.8917,1.3513,0.69,0.17
195306,-3.1979,-3.9949,-1.7001,-1.8494,-1.71,0.18
195307,0.8551,1.5137,2.9809,1.8848,2.55,0.15
195308,-3.2764,-6.3306,-3.9714,-7.9756,-4.35,0.17
195309,0.0385,-2.2912,0.8979,-1.6532,0.36,0.16
195310,3.142,3.0779,5.083,4.6557,4.73,0.13
195311,1.5292,1.2857,3.352,3.2942,2.91,0.08
195312,0.2591,-2.7596,0.528,-2.1293,0.16,0.13
195401,4.7348,8.1997,4.4643,7.8701,5.24,0.11
195402,1.0862,1.408,1.6515,0.754,1.74,0.07
195403,2.6329,2.1357,4.244,1.746,3.73,0.08
195404,-0.2482,0.3977,5.3108,3.9896,4.36,0.09
195405,3.9802,5.1167,2.8614,6.6242,3.14,0.05
195406,0.5735,1.3752,1.8428,1.0571,1.13,0.06
195407,5.5421,9.1082,4.295,8.9941,5.04,0.05
195408,-0.1185,-0.887,-2.9947,-4.9917,-2.29,0.05
195409,2.8897,4.6674,6.8828,6.4643,6.48,0.09
195410,0.5601,-0.7137,-2.2614,0.3434,-1.6,0.07
195411,7.0826,9.6613,9.5778,15.7986,9.44,0.06
195412,7.5331,11.3905,4.2803,11.744,5.56,0.08
195501,1.5894,2.3861,0.0723,3.5499,0.68,0.08
195502,3.8044,4.6345,3.0684,3.4022,3.11,0.09
195503,-0.778,0.6753,-0.2787,2.2127,-0.06,0.1
195504,1.6264,2.6442,4.0887,4.4324,3.21,0.1
195505,0.5818,0.4058,1.9461,0.1997,1.07,0.14
195506,2.1083,3.5315,6.5865,8.8422,6.65,0.1
195507,-1.6321,1.306,2.6436,0.396,2,0.1
195508,-0.0701,0.2659,0.3402,1.4474,0.37,0.16
195509,-0.7222,-0.3441,0.0578,-2.299,-0.2,0.16
195510,-1.4384,-1.2686,-2.8186,-3.2838,-2.5,0.18
195511,5.9972,5.2657,8.3322,9.7196,7.2,0.17
195512,3.4725,2.5601,1.9789,-1.7027,1.67,0.18
195601,-2.3277,-1.7034,-3.6267,-2.3554,-2.81,0.22
195602,1.9377,2.3804,4.7654,3.46,3.96,0.19
195603,3.4322,5.1882,7.8836,5.1985,6.79,0.15
